borrower_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,persona,cluster,predicted_prob,risk_tier,recommended_action,loan_status
18,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,0.31,N,4,At-Risk Young Borrower,1,0.99847907,Very High, Decline or Refer to Counselling,1
19,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,0.16,N,2,Cautious Low-Income Borrower,0,0.9894518,Very High, Decline or Refer to Counselling,1
20,25,162500,RENT,2.0,VENTURE,A,35000,7.49,0.22,N,4,At-Risk Young Borrower,1,0.0030595034,Low, Auto-Approve,0
21,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0.25,Y,2,At-Risk Young Borrower,1,0.4044825,Medium, Manual Review,0
22,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,0.52,N,4,At-Risk Young Borrower,1,0.9895173,Very High, Decline or Refer to Counselling,1
23,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0.14,N,3,Cautious Low-Income Borrower,0,0.014502598,Low, Auto-Approve,0
24,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,0.42,Y,4,At-Risk Young Borrower,1,0.991524,Very High, Decline or Refer to Counselling,1
25,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,0.49,N,3,At-Risk Young Borrower,1,0.9940826,Very High, Decline or Refer to Counselling,1
26,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,0.42,Y,3,At-Risk Young Borrower,1,0.99065465,Very High, Decline or Refer to Counselling,1
27,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0.13,N,3,Cautious Low-Income Borrower,0,0.026313122,Low, Auto-Approve,0
28,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,0.5,N,3,At-Risk Young Borrower,1,0.9896455,Very High, Decline or Refer to Counselling,1
29,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,0.35,Y,2,At-Risk Young Borrower,1,0.999775,Very High, Decline or Refer to Counselling,1
30,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,0.17,N,3,Cautious Low-Income Borrower,0,0.99778914,Very High, Decline or Refer to Counselling,1
31,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0.27,N,2,At-Risk Young Borrower,1,0.0074515534,Low, Auto-Approve,0
32,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,0.33,Y,3,At-Risk Young Borrower,1,0.9806332,Very High, Decline or Refer to Counselling,1
33,25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0.08,N,3,Cautious Low-Income Borrower,0,0.066369705,Low, Auto-Approve,0
34,26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0.03,N,4,Cautious Low-Income Borrower,0,0.07494589,Low, Auto-Approve,0
35,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,0.21,N,4,Cautious Low-Income Borrower,0,0.99879694,Very High, Decline or Refer to Counselling,1
36,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,0.63,N,2,At-Risk Young Borrower,1,0.9976318,Very High, Decline or Refer to Counselling,1
37,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,0.47,Y,3,At-Risk Young Borrower,1,0.99938476,Very High, Decline or Refer to Counselling,1
38,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,0.4,Y,4,At-Risk Young Borrower,1,0.9858468,Very High, Decline or Refer to Counselling,1
39,23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,15.31,0.42,N,4,At-Risk Young Borrower,1,0.9985487,Very High, Decline or Refer to Counselling,1
40,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,0.41,N,2,At-Risk Young Borrower,1,0.99825627,Very High, Decline or Refer to Counselling,1
41,24,12000,OWN,4.0,VENTURE,B,2500,12.69,0.21,N,3,At-Risk Young Borrower,1,0.9989612,Very High, Decline or Refer to Counselling,1
42,26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0.07,N,4,Cautious Low-Income Borrower,0,0.0023235572,Low, Auto-Approve,0
43,23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0.08,Y,2,Cautious Low-Income Borrower,0,0.04246896,Low, Auto-Approve,0
44,26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0.03,N,4,Cautious Low-Income Borrower,0,0.0044331443,Low, Auto-Approve,0
45,26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0.08,N,3,Cautious Low-Income Borrower,0,0.0983601,Low, Auto-Approve,0
46,25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0.06,N,3,Cautious Low-Income Borrower,0,0.24736369,Low, Auto-Approve,0
47,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,0.37,N,3,At-Risk Young Borrower,1,0.98682654,Very High, Decline or Refer to Counselling,1
48,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,0.38,N,3,At-Risk Young Borrower,1,0.9973289,Very High, Decline or Refer to Counselling,1
49,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,0.34,N,3,At-Risk Young Borrower,1,0.9878038,Very High, Decline or Refer to Counselling,1
50,24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,0.38,Y,4,At-Risk Young Borrower,1,0.9991002,Very High, Decline or Refer to Counselling,1
51,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,0.38,Y,3,At-Risk Young Borrower,1,0.9994012,Very High, Decline or Refer to Counselling,1
52,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,0.33,Y,3,At-Risk Young Borrower,1,0.986522,Very High, Decline or Refer to Counselling,1
53,23,97000,RENT,7.0,VENTURE,B,30000,10.65,0.31,N,2,At-Risk Young Borrower,1,0.9308398,Very High, Decline or Refer to Counselling,1
54,25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0.25,N,4,At-Risk Young Borrower,1,0.041093934,Low, Auto-Approve,0
55,26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0.04,Y,3,Cautious Low-Income Borrower,0,0.048980787,Low, Auto-Approve,0
56,26,277104,RENT,0.0,VENTURE,B,20000,11.48,0.07,N,3,Cautious Low-Income Borrower,0,0.0058737914,Low, Auto-Approve,0
57,23,277000,OWN,3.0,PERSONAL,A,35000,7.49,0.13,N,4,Cautious Low-Income Borrower,0,0.0008508466,Low, Auto-Approve,0
58,25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0.23,N,4,At-Risk Young Borrower,1,0.07532892,Low, Auto-Approve,0
59,24,12000,OWN,2.0,VENTURE,E,1750,16.795,0.15,Y,3,At-Risk Young Borrower,1,0.13474216,Low, Auto-Approve,0
60,21,131000,RENT,0.0,VENTURE,A,30000,5.99,0.23,N,4,At-Risk Young Borrower,1,0.0029013474,Low, Auto-Approve,0
61,22,275000,OWN,6.0,VENTURE,B,12000,11.58,0.04,N,2,Cautious Low-Income Borrower,0,0.00028880354,Low, Auto-Approve,0
62,26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,0.04,N,4,Cautious Low-Income Borrower,0,0.5113449,High,  Senior Review + Collateral Check,1
63,25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,0.1,N,2,Cautious Low-Income Borrower,0,0.955898,Very High, Decline or Refer to Counselling,1
64,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,0.42,N,3,At-Risk Young Borrower,1,0.9789271,Very High, Decline or Refer to Counselling,1
65,22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0.13,Y,3,Cautious Low-Income Borrower,0,0.7197895,Very High, Decline or Refer to Counselling,0
66,26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0.11,N,3,Cautious Low-Income Borrower,0,0.0029448562,Low, Auto-Approve,0
67,25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0.08,Y,2,Cautious Low-Income Borrower,0,0.1810299,Low, Auto-Approve,0
68,24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0.04,N,2,Cautious Low-Income Borrower,0,0.015389341,Low, Auto-Approve,0
69,25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0.1,N,4,Cautious Low-Income Borrower,0,0.09855344,Low, Auto-Approve,0
70,25,12000,OWN,0.0,MEDICAL,C,3000,13.48,0.25,N,3,At-Risk Young Borrower,1,0.9992705,Very High, Decline or Refer to Counselling,1
71,22,56950,RENT,6.0,MEDICAL,A,28000,7.49,0.49,N,2,At-Risk Young Borrower,1,0.99234205,Very High, Decline or Refer to Counselling,1
72,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,0.25,Y,3,At-Risk Young Borrower,1,0.99924004,Very High, Decline or Refer to Counselling,1
73,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,0.43,N,2,At-Risk Young Borrower,1,0.9739759,Very High, Decline or Refer to Counselling,1
74,26,85000,RENT,2.0,VENTURE,A,28000,7.49,0.33,N,3,At-Risk Young Borrower,1,0.98172784,Very High, Decline or Refer to Counselling,1
75,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,0.51,N,3,At-Risk Young Borrower,1,0.99925107,Very High, Decline or Refer to Counselling,1
76,22,88000,RENT,6.0,VENTURE,B,28000,9.91,0.32,N,3,At-Risk Young Borrower,1,0.9805439,Very High, Decline or Refer to Counselling,1
77,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,0.35,Y,4,At-Risk Young Borrower,1,0.9993249,Very High, Decline or Refer to Counselling,1
78,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,0.4,N,2,At-Risk Young Borrower,1,0.9987166,Very High, Decline or Refer to Counselling,1
79,24,83004,RENT,0.0,VENTURE,D,28000,15.99,0.34,Y,4,At-Risk Young Borrower,1,0.99525,Very High, Decline or Refer to Counselling,1
80,24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0.07,Y,3,Cautious Low-Income Borrower,0,0.08970574,Low, Auto-Approve,0
81,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0.28,N,3,At-Risk Young Borrower,1,0.11837863,Low, Auto-Approve,0
82,26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0.25,N,2,At-Risk Young Borrower,1,0.05214434,Low, Auto-Approve,0
83,26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,0.23,N,4,Cautious Low-Income Borrower,0,0.9978891,Very High, Decline or Refer to Counselling,1
84,22,108000,RENT,6.0,EDUCATION,B,28000,10.99,0.26,N,4,At-Risk Young Borrower,1,0.40676308,Medium, Manual Review,1
85,23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0.19,N,2,At-Risk Young Borrower,1,0.03360584,Low, Auto-Approve,0
86,24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,0.4,N,2,At-Risk Young Borrower,1,0.9930166,Very High, Decline or Refer to Counselling,1
87,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,0.27,Y,3,At-Risk Young Borrower,1,0.99929404,Very High, Decline or Refer to Counselling,1
88,22,70000,RENT,4.0,EDUCATION,C,27500,13.06,0.39,Y,3,At-Risk Young Borrower,1,0.9928637,Very High, Decline or Refer to Counselling,1
89,22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0.1,N,2,Cautious Low-Income Borrower,0,0.0012049415,Low, Auto-Approve,0
90,26,73200,RENT,5.0,VENTURE,D,27050,15.62,0.37,Y,2,At-Risk Young Borrower,1,0.99625236,Very High, Decline or Refer to Counselling,1
91,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,0.33,Y,2,At-Risk Young Borrower,1,0.9855849,Very High, Decline or Refer to Counselling,1
92,24,73399,RENT,0.0,VENTURE,D,27000,15.31,0.37,N,3,At-Risk Young Borrower,1,0.99885654,Very High, Decline or Refer to Counselling,1
93,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,0.42,N,2,At-Risk Young Borrower,1,0.99686927,Very High, Decline or Refer to Counselling,1
94,23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0.21,N,3,At-Risk Young Borrower,1,0.04043167,Low, Auto-Approve,0
95,24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0.13,N,3,Cautious Low-Income Borrower,0,0.025269266,Low, Auto-Approve,0
96,22,60000,RENT,0.0,VENTURE,B,25475,10.99,0.42,N,3,At-Risk Young Borrower,1,0.9876673,Very High, Decline or Refer to Counselling,1
97,25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0.09,Y,4,Cautious Low-Income Borrower,0,0.05774025,Low, Auto-Approve,0
98,24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0.09,N,4,Cautious Low-Income Borrower,0,0.0020297107,Low, Auto-Approve,0
99,26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0.09,N,3,Cautious Low-Income Borrower,0,0.08182611,Low, Auto-Approve,0
100,25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,0.05,Y,3,Cautious Low-Income Borrower,0,0.9761086,Very High, Decline or Refer to Counselling,1
101,26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0.11,Y,2,Cautious Low-Income Borrower,0,0.06829657,Low, Auto-Approve,0
102,25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0.15,N,4,At-Risk Young Borrower,1,0.121561356,Low, Auto-Approve,0
103,23,83000,RENT,7.0,EDUCATION,B,25300,10.99,0.3,N,3,At-Risk Young Borrower,1,0.85706,Very High, Decline or Refer to Counselling,1
104,25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0.14,N,3,Cautious Low-Income Borrower,0,0.04139365,Low, Auto-Approve,0
105,21,42500,RENT,3.0,EDUCATION,C,25000,12.73,0.59,Y,3,At-Risk Young Borrower,1,0.9966595,Very High, Decline or Refer to Counselling,1
106,24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,15.31,0.61,N,3,At-Risk Young Borrower,1,0.9984647,Very High, Decline or Refer to Counselling,1
107,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,0.23,Y,4,At-Risk Young Borrower,1,0.9992312,Very High, Decline or Refer to Counselling,1
108,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,0.28,N,3,At-Risk Young Borrower,1,0.99319893,Very High, Decline or Refer to Counselling,1
109,26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0.09,N,4,Cautious Low-Income Borrower,0,0.0910622,Low, Auto-Approve,0
110,25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0.13,Y,2,At-Risk Young Borrower,1,0.10642224,Low, Auto-Approve,0
111,26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,0.16,N,2,At-Risk Young Borrower,1,0.37975544,Medium, Manual Review,1
112,24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0.03,N,4,Cautious Low-Income Borrower,0,0.08583897,Low, Auto-Approve,0
113,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,0.35,N,4,At-Risk Young Borrower,1,0.99547344,Very High, Decline or Refer to Counselling,1
114,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,0.18,Y,2,At-Risk Young Borrower,1,0.99904245,Very High, Decline or Refer to Counselling,1
115,22,42000,RENT,6.0,MEDICAL,D,25000,14.59,0.6,Y,2,At-Risk Young Borrower,1,0.99873954,Very High, Decline or Refer to Counselling,1
116,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,0.52,N,4,At-Risk Young Borrower,1,0.99795806,Very High, Decline or Refer to Counselling,1
117,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,0.28,N,3,At-Risk Young Borrower,1,0.9973361,Very High, Decline or Refer to Counselling,1
118,22,12996,OWN,1.0,EDUCATION,B,4750,10.99,0.37,N,3,At-Risk Young Borrower,1,0.9990426,Very High, Decline or Refer to Counselling,1
119,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,0.59,Y,3,At-Risk Young Borrower,1,0.99849236,Very High, Decline or Refer to Counselling,1
120,21,49000,RENT,4.0,EDUCATION,B,25000,10.99,0.51,N,2,At-Risk Young Borrower,1,0.99833065,Very High, Decline or Refer to Counselling,1
121,25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0.11,N,2,Cautious Low-Income Borrower,0,0.17125086,Low, Auto-Approve,0
122,26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0.01,N,4,Cautious Low-Income Borrower,0,0.04289117,Low, Auto-Approve,0
123,23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0.03,N,2,Cautious Low-Income Borrower,0,0.030978184,Low, Auto-Approve,0
124,26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0.11,N,2,Cautious Low-Income Borrower,0,0.011794321,Low, Auto-Approve,0
125,22,49464,RENT,5.0,PERSONAL,B,25000,11.83,0.51,N,3,At-Risk Young Borrower,1,0.99703276,Very High, Decline or Refer to Counselling,1
126,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,0.5,N,3,At-Risk Young Borrower,1,0.99104744,Very High, Decline or Refer to Counselling,1
127,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,0.5,N,2,At-Risk Young Borrower,1,0.98269606,Very High, Decline or Refer to Counselling,1
128,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,0.57,N,2,At-Risk Young Borrower,1,0.9997346,Very High, Decline or Refer to Counselling,1
129,23,50000,RENT,1.0,VENTURE,B,25000,11.83,0.5,N,4,At-Risk Young Borrower,1,0.9898741,Very High, Decline or Refer to Counselling,1
130,22,50004,RENT,0.0,VENTURE,B,25000,10.36,0.5,N,2,At-Risk Young Borrower,1,0.9893518,Very High, Decline or Refer to Counselling,1
131,22,50004,RENT,3.0,VENTURE,C,25000,12.23,0.5,N,3,At-Risk Young Borrower,1,0.9942825,Very High, Decline or Refer to Counselling,1
132,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,0.48,N,4,At-Risk Young Borrower,1,0.99421024,Very High, Decline or Refer to Counselling,1
133,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,0.38,N,4,At-Risk Young Borrower,1,0.99895656,Very High, Decline or Refer to Counselling,1
134,24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0.11,N,2,Cautious Low-Income Borrower,0,0.038983975,Low, Auto-Approve,0
135,23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0.1,N,3,Cautious Low-Income Borrower,0,0.053976763,Low, Auto-Approve,0
136,25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0.12,N,3,Cautious Low-Income Borrower,0,0.17793004,Low, Auto-Approve,0
137,26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0.09,Y,2,Cautious Low-Income Borrower,0,0.065377906,Low, Auto-Approve,0
138,23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0.16,Y,3,At-Risk Young Borrower,1,0.09569625,Low, Auto-Approve,0
139,26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0.06,N,2,Cautious Low-Income Borrower,0,0.04361131,Low, Auto-Approve,0
140,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,0.48,N,2,At-Risk Young Borrower,1,0.99716127,Very High, Decline or Refer to Counselling,1
141,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,0.54,N,4,At-Risk Young Borrower,1,0.9996295,Very High, Decline or Refer to Counselling,1
142,22,53000,RENT,5.0,EDUCATION,C,25000,13.43,0.47,Y,4,At-Risk Young Borrower,1,0.9942737,Very High, Decline or Refer to Counselling,1
143,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,0.53,Y,2,At-Risk Young Borrower,1,0.99931467,Very High, Decline or Refer to Counselling,1
144,23,47000,RENT,1.0,VENTURE,E,25000,17.93,0.53,N,2,At-Risk Young Borrower,1,0.99835616,Very High, Decline or Refer to Counselling,1
145,23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0.11,N,4,Cautious Low-Income Borrower,0,0.10493679,Low, Auto-Approve,0
146,21,13200,OWN,0.0,VENTURE,C,4500,12.98,0.34,N,4,At-Risk Young Borrower,1,0.99931407,Very High, Decline or Refer to Counselling,1
147,22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0.08,N,4,Cautious Low-Income Borrower,0,0.003405139,Low, Auto-Approve,0
148,26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0.1,N,4,Cautious Low-Income Borrower,0,0.0020608285,Low, Auto-Approve,0
149,26,48000,RENT,5.0,VENTURE,F,25000,18.43,0.52,N,2,At-Risk Young Borrower,1,0.9962327,Very High, Decline or Refer to Counselling,1
150,22,54996,RENT,6.0,EDUCATION,B,25000,10.99,0.45,N,4,At-Risk Young Borrower,1,0.99179935,Very High, Decline or Refer to Counselling,1
151,24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,15.31,0.45,Y,4,At-Risk Young Borrower,1,0.99278706,Very High, Decline or Refer to Counselling,1
152,23,55000,RENT,4.0,EDUCATION,B,25000,11.36,0.45,N,3,At-Risk Young Borrower,1,0.9921819,Very High, Decline or Refer to Counselling,1
153,23,55000,RENT,4.0,EDUCATION,D,25000,15.65,0.45,Y,3,At-Risk Young Borrower,1,0.9905972,Very High, Decline or Refer to Counselling,1
154,24,55164,RENT,8.0,PERSONAL,C,25000,13.22,0.45,Y,4,At-Risk Young Borrower,1,0.9945661,Very High, Decline or Refer to Counselling,1
155,26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,0.45,N,2,At-Risk Young Borrower,1,0.9977265,Very High, Decline or Refer to Counselling,1
156,24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0.1,N,3,Cautious Low-Income Borrower,0,0.001026589,Low, Auto-Approve,0
157,23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,0.12,Y,3,At-Risk Young Borrower,1,0.7106974,Very High, Decline or Refer to Counselling,1
158,23,13920,OWN,2.0,PERSONAL,E,7750,17.04,0.56,N,4,At-Risk Young Borrower,1,0.99127275,Very High, Decline or Refer to Counselling,1
159,24,60000,RENT,0.0,PERSONAL,B,25000,10.99,0.42,N,3,At-Risk Young Borrower,1,0.9911055,Very High, Decline or Refer to Counselling,1
160,24,60000,RENT,2.0,PERSONAL,B,25000,11.11,0.42,N,3,At-Risk Young Borrower,1,0.9903859,Very High, Decline or Refer to Counselling,1
161,26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,0.46,Y,2,At-Risk Young Borrower,1,0.99966276,Very High, Decline or Refer to Counselling,1
162,23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,15.31,0.29,N,3,At-Risk Young Borrower,1,0.99778396,Very High, Decline or Refer to Counselling,1
163,24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0.06,N,2,Cautious Low-Income Borrower,0,0.07050509,Low, Auto-Approve,0
164,24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0.06,N,2,Cautious Low-Income Borrower,0,0.069923036,Low, Auto-Approve,0
165,21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0.08,N,4,Cautious Low-Income Borrower,0,0.025319194,Low, Auto-Approve,0
166,25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,0.46,N,4,At-Risk Young Borrower,1,0.99780875,Very High, Decline or Refer to Counselling,1
167,23,60000,RENT,3.0,PERSONAL,C,25000,12.73,0.42,N,3,At-Risk Young Borrower,1,0.9947442,Very High, Decline or Refer to Counselling,1
168,23,60000,RENT,7.0,PERSONAL,B,25000,10.25,0.42,N,4,At-Risk Young Borrower,1,0.9916277,Very High, Decline or Refer to Counselling,1
169,21,60000,RENT,6.0,EDUCATION,B,25000,10.99,0.42,N,4,At-Risk Young Borrower,1,0.9878588,Very High, Decline or Refer to Counselling,1
170,25,61959,RENT,9.0,MEDICAL,C,25000,12.73,0.4,N,2,At-Risk Young Borrower,1,0.9973947,Very High, Decline or Refer to Counselling,1
171,22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,0.44,Y,3,At-Risk Young Borrower,1,0.99926275,Very High, Decline or Refer to Counselling,1
172,23,200000,MORTGAGE,7.0,EDUCATION,A,28000,7.49,0.14,N,2,Cautious Low-Income Borrower,0,0.013335345,Low, Auto-Approve,0
173,21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0.13,N,2,Cautious Low-Income Borrower,0,0.07480208,Low, Auto-Approve,0
